Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhCha;AhDch;AhStep;AhAccu;WhAccu;WhCha;WhDch;WhStep;;;;x;;Peukert 1,75V;
[dd/MM/yyyy HH:mm:ss];[];[];[hh:mm:ss];[hh:mm:ss];[];[];[];[V];[A];[AhCha];[AhDch];[AhStep];[Ah];[Wh];[WhCha];[WhDch];[WhStep];;;;x;;Duração;Corrente
18/11/2022 16:20;1;...;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;0,000;0;;;;;;;;;;18/11/2022 19:30;AhCha;1,19361;;20,938;0,237
18/11/2022 16:30;2;PAU;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;2,090;0;;;;;;;;;;;AhDch;4,972698;;19,697;0,249
18/11/2022 16:30;2;PAU;00:00:00;00:00:00;0;0;EQUALIZACAO_4X_C20;2,090;0;0;0;0;0;0;0;0;0;;;Duração;20:56:16;;20,146;0,245
18/11/2022 16:30;2;PAU;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;2,091;0;0;0;0;0;0;0;0;0;;20/11/2022 20:26;AhCha;8,975627;;20,032;0,247
18/11/2022 16:30;2;PAU;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;2,091;0;;;;;;;;;;;AhDch;4,896998;;;
18/11/2022 16:30;3;MSG;00:00:02;00:00:02;0;0;EQUALIZACAO_4X_C20;Set IRange: 4;;;;;;;;;;;;Duração;19:41:48;;;
18/11/2022 16:30;3;CHA;00:00:02;00:00:00;0;0;EQUALIZACAO_4X_C20;2,142;0;;;;;;;;;;22/11/2022 20:08;AhCha;8,191689;;;
18/11/2022 16:30;3;CHA;00:00:02;00:00:00;0;0;EQUALIZACAO_4X_C20;2,172;0,997;0;0;0;0;0;0;0;0;;;AhDch;4,932428;;;
18/11/2022 16:45;3;CHA;00:15:02;00:15:00;0;0;EQUALIZACAO_4X_C20;2,667;0,437;0,131985;0;0,131985;0,131985;0,350745;0,350745;0;0,350745;;;Duração;20:08:44;;;
18/11/2022 17:00;3;CHA;00:30:02;00:30:00;0;0;EQUALIZACAO_4X_C20;2,667;0,414;0,23783;0;0,23783;0,23783;0,633029;0,633029;0;0,633029;;24/11/2022 20:17;AhCha;7,741025;;;
18/11/2022 17:15;3;CHA;00:45:02;00:45:00;0;0;EQUALIZACAO_4X_C20;2,667;0,403;0,339797;0;0,339797;0,339797;0,904968;0,904968;0;0,904968;;;AhDch;4,939935;;;
18/11/2022 17:30;3;CHA;01:00:02;01:00:00;0;0;EQUALIZACAO_4X_C20;2,667;0,396;0,439629;0;0,439629;0,439629;1,171215;1,171215;0;1,171215;;;Duração;20:01:57;;;
18/11/2022 17:45;3;CHA;01:15:02;01:15:00;0;0;EQUALIZACAO_4X_C20;2,667;0,391;0,53794;0;0,53794;0,53794;1,433407;1,433407;0;1,433407;;26/11/2022 20:19;AhCha;7,451042;;;
18/11/2022 18:00;3;CHA;01:30:02;01:30:00;0;0;EQUALIZACAO_4X_C20;2,667;0,385;0,634903;0;0,634903;0,634903;1,692001;1,692001;0;1,692001;;;;;;;
18/11/2022 18:15;3;CHA;01:45:02;01:45:00;0;0;EQUALIZACAO_4X_C20;2,667;0,381;0,73065;0;0,73065;0,73065;1,947355;1,947355;0;1,947355;;;;;;;
18/11/2022 18:30;3;CHA;02:00:02;02:00:00;0;0;EQUALIZACAO_4X_C20;2,667;0,376;0,825242;0;0,825242;0,825242;2,199625;2,199625;0;2,199625;;;;;;;
18/11/2022 18:45;3;CHA;02:15:02;02:15:00;0;0;EQUALIZACAO_4X_C20;2,667;0,373;0,9188;0;0,9188;0,9188;2,449139;2,449139;0;2,449139;;;;;;;
18/11/2022 19:00;3;CHA;02:30:02;02:30:00;0;0;EQUALIZACAO_4X_C20;2,667;0,369;1,011386;0;1,011386;1,011386;2,696062;2,696062;0;2,696062;;;;;;;
18/11/2022 19:15;3;CHA;02:45:02;02:45:00;0;0;EQUALIZACAO_4X_C20;2,667;0,364;1,10296;0;1,10296;1,10296;2,940285;2,940285;0;2,940285;;;;;;;
18/11/2022 19:30;3;CHA;03:00:02;03:00:00;0;0;EQUALIZACAO_4X_C20;2,667;0,361;1,19358;0;1,19358;1,19358;3,181963;3,181963;0;3,181963;;;;;;;
18/11/2022 19:30;3;CHA;03:00:02;03:00:00;0;0;EQUALIZACAO_4X_C20;2,667;0,361;1,19361;0;1,19361;1,19361;3,182045;3,182045;0;3,182045;;;;;;;
18/11/2022 19:30;3;CHA;03:00:02;03:00:00;0;0;EQUALIZACAO_4X_C20;2,667;0,361;;;;;;;;;;;;;;;
18/11/2022 19:30;4;PAU;03:00:02;00:00:00;0;0;EQUALIZACAO_4X_C20;2,667;0;;;;;;;;;;;;;;;
18/11/2022 19:30;4;PAU;03:00:02;00:00:00;0;0;EQUALIZACAO_4X_C20;2,667;0;1,19361;0;0;1,19361;3,182045;3,182045;0;0;;;;;;;
18/11/2022 20:30;4;PAU;04:00:02;01:00:00;0;0;EQUALIZACAO_4X_C20;2,095;0;1,19361;0;0;1,19361;3,182045;3,182045;0;0;;;;;;;
18/11/2022 21:30;4;PAU;05:00:02;01:59:59;0;0;EQUALIZACAO_4X_C20;2,088;0;1,19361;0;0;1,19361;3,182045;3,182045;0;0;;;;;;;
18/11/2022 22:30;4;PAU;06:00:02;03:00:00;0;0;EQUALIZACAO_4X_C20;2,092;0;1,19361;0;0;1,19361;3,182045;3,182045;0;0;;;;;;;
18/11/2022 23:30;4;PAU;07:00:02;04:00:00;0;0;EQUALIZACAO_4X_C20;2,093;0;1,19361;0;0;1,19361;3,182045;3,182045;0;0;;;;;;;
18/11/2022 23:30;4;PAU;07:00:02;04:00:00;0;0;EQUALIZACAO_4X_C20;2,093;0;1,19361;0;0;1,19361;3,182045;3,182045;0;0;;;;;;;
18/11/2022 23:30;4;PAU;07:00:02;04:00:00;0;0;EQUALIZACAO_4X_C20;2,093;0;;;;;;;;;;;;;;;
18/11/2022 23:30;7;DCH;07:00:03;00:00:00;1;1;EQUALIZACAO_4X_C20;2,084;0;;;;;;;;;;;;;;;
18/11/2022 23:30;7;DCH;07:00:03;00:00:00;1;1;EQUALIZACAO_4X_C20;2,083;-0,239;0;0;0;0;3,182045;3,182045;0;0;;;;;;;
18/11/2022 23:32;7;DCH;07:02:03;00:02:00;1;1;EQUALIZACAO_4X_C20;2,049;-0,237;0;0,007923;0,007923;-0,007923;3,165733;3,182045;0,016312;0,016312;;;;;;;
18/11/2022 23:34;7;DCH;07:04:03;00:04:00;1;1;EQUALIZACAO_4X_C20;2,047;-0,238;0;0,015839;0,015839;-0,015839;3,149529;3,182045;0,032516;0,032516;;;;;;;
18/11/2022 23:36;7;DCH;07:06:03;00:06:00;1;1;EQUALIZACAO_4X_C20;2,050;-0,238;0;0,023757;0,023757;-0,023757;3,133307;3,182045;0,048738;0,048738;;;;;;;
18/11/2022 23:38;7;DCH;07:08:03;00:08:00;1;1;EQUALIZACAO_4X_C20;2,052;-0,237;0;0,031663;0,031663;-0,031663;3,117094;3,182045;0,064951;0,064951;;;;;;;
18/11/2022 23:40;7;DCH;07:10:03;00:09:59;1;1;EQUALIZACAO_4X_C20;2,053;-0,237;0;0,039572;0,039572;-0,039572;3,100859;3,182045;0,081186;0,081186;;;;;;;
18/11/2022 23:42;7;DCH;07:12:03;00:12:00;1;1;EQUALIZACAO_4X_C20;2,054;-0,238;0;0,047501;0,047501;-0,047501;3,084576;3,182045;0,097469;0,097469;;;;;;;
18/11/2022 23:44;7;DCH;07:14:03;00:14:00;1;1;EQUALIZACAO_4X_C20;2,055;-0,237;0;0,05541;0,05541;-0,05541;3,068325;3,182045;0,11372;0,11372;;;;;;;
18/11/2022 23:46;7;DCH;07:16:03;00:16:00;1;1;EQUALIZACAO_4X_C20;2,055;-0,238;0;0,063336;0,063336;-0,063336;3,052037;3,182045;0,130008;0,130008;;;;;;;
18/11/2022 23:48;7;DCH;07:18:03;00:18:00;1;1;EQUALIZACAO_4X_C20;2,056;-0,237;0;0,071251;0,071251;-0,071251;3,035767;3,182045;0,146278;0,146278;;;;;;;
18/11/2022 23:50;7;DCH;07:20:03;00:20:00;1;1;EQUALIZACAO_4X_C20;2,056;-0,238;0;0,079155;0,079155;-0,079155;3,019516;3,182045;0,162529;0,162529;;;;;;;
18/11/2022 23:52;7;DCH;07:22:03;00:22:00;1;1;EQUALIZACAO_4X_C20;2,056;-0,238;0;0,08709;0,08709;-0,08709;3,0032;3,182045;0,178845;0,178845;;;;;;;
18/11/2022 23:54;7;DCH;07:24:03;00:24:00;1;1;EQUALIZACAO_4X_C20;2,057;-0,237;0;0,094997;0,094997;-0,094997;2,986939;3,182045;0,195106;0,195106;;;;;;;
18/11/2022 23:56;7;DCH;07:26:03;00:26:00;1;1;EQUALIZACAO_4X_C20;2,057;-0,238;0;0,102922;0,102922;-0,102922;2,970641;3,182045;0,211404;0,211404;;;;;;;
18/11/2022 23:58;7;DCH;07:28:03;00:28:00;1;1;EQUALIZACAO_4X_C20;2,057;-0,238;0;0,11084;0,11084;-0,11084;2,954354;3,182045;0,227691;0,227691;;;;;;;
19/11/2022 00:00;7;DCH;07:30:03;00:30:00;1;1;EQUALIZACAO_4X_C20;2,057;-0,237;0;0,118748;0,118748;-0,118748;2,938086;3,182045;0,243959;0,243959;;;;;;;
19/11/2022 00:02;7;DCH;07:32:03;00:32:00;1;1;EQUALIZACAO_4X_C20;2,057;-0,238;0;0,12666;0,12666;-0,12666;2,92181;3,182045;0,260235;0,260235;;;;;;;
19/11/2022 00:04;7;DCH;07:34:03;00:34:00;1;1;EQUALIZACAO_4X_C20;2,057;-0,238;0;0,134589;0,134589;-0,134589;2,905499;3,182045;0,276546;0,276546;;;;;;;
