Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhCha;AhDch;AhStep;AhAccu;WhAccu;WhCha;WhDch;WhStep;;Peukert 1,75V;
[dd/MM/yyyy HH:mm:ss];[];[];[hh:mm:ss];[hh:mm:ss];[];[];[];[V];[A];[AhCha];[AhDch];[AhStep];[Ah];[Wh];[WhCha];[WhDch];[WhStep];;Duração;Corrente
28/11/2022 16:04;1;...;00:00:00;00:00:00;0;0;Peukert_sem_equal;0;0;;;;;;;;;;0;9,499
28/11/2022 16:04;2;PAU;00:00:00;00:00:00;0;0;Peukert_sem_equal;2,08;0;;;;;;;;;;0,673;4,75
28/11/2022 16:04;2;PAU;00:00:00;00:00:00;0;0;Peukert_sem_equal;2,08;0;0;0;0;0;0;0;0;0;;4,641;0,95
28/11/2022 16:04;2;PAU;00:00:02;00:00:02;0;0;Peukert_sem_equal;2,08;0;0;0;0;0;0;0;0;0;;6,363;0,712
28/11/2022 16:04;2;PAU;00:00:02;00:00:02;0;0;Peukert_sem_equal;2,08;0;;;;;;;;;;9,628;0,475
28/11/2022 16:04;3;INT;00:00:02;00:00:00;0;0;Peukert_sem_equal;2,08;0;;;;;;;;;;19,636;0,238
28/11/2022 16:04;3;INT;00:00:02;00:00:00;0;0;Peukert_sem_equal;2,08;0;0;0;0;0;0;0;0;0;;;
28/11/2022 16:04;3;MSG;00:00:13;00:00:10;0;0;Peukert_sem_equal;Continue via BTS-host computer!;;;;;;;;;;;;
28/11/2022 16:04;3;INT;00:00:13;00:00:10;0;0;Peukert_sem_equal;2,09;0;0;0;0;0;0;0;0;0;;;
28/11/2022 16:04;3;INT;00:00:13;00:00:10;0;0;Peukert_sem_equal;2,09;0;;;;;;;;;;;
28/11/2022 16:04;5;DCH;00:00:13;00:00:00;0;0;Peukert_sem_equal;1,78;0;;;;;;;;;;;
28/11/2022 16:04;5;DCH;00:00:13;00:00:00;0;0;Peukert_sem_equal;1,77;-9,498;0;0;0;0;0;0;0;0;;;
28/11/2022 16:04;5;DCH;00:00:14;00:00:00;0;0;Peukert_sem_equal;1,74;-9,499;0;0,002765;0,002765;-0,002765;-0,004852;0;0,004852;0,004852;;;
28/11/2022 16:04;5;DCH;00:00:14;00:00:00;0;0;Peukert_sem_equal;1,74;-9,499;;;;;;;;;;;
28/11/2022 16:04;6;PAU;00:00:14;00:00:00;0;0;Peukert_sem_equal;1,74;0;;;;;;;;;;;
28/11/2022 16:04;6;PAU;00:00:14;00:00:00;0;0;Peukert_sem_equal;1,74;0;0;0,002765;0;-0,002765;-0,004852;0;0,004852;0;;;
28/11/2022 16:04;6;PAU;00:00:14;00:00:00;0;0;Peukert_sem_equal;2,04;0;0;0,002765;0;-0,002765;-0,004852;0;0,004852;0;;;
28/11/2022 16:04;6;PAU;00:00:14;00:00:00;0;0;Peukert_sem_equal;2,04;0;;;;;;;;;;;
28/11/2022 16:04;8;PAU;00:00:14;00:00:00;0;0;Peukert_sem_equal;2,05;0;;;;;;;;;;;
28/11/2022 16:04;8;PAU;00:00:14;00:00:00;0;0;Peukert_sem_equal;2,05;0;0;0;0;0;-0,004852;0;0,004852;0;;;
28/11/2022 16:34;8;PAU;00:30:14;00:30:00;0;0;Peukert_sem_equal;2,1;0;0;0;0;0;-0,004852;0;0,004852;0;;;
28/11/2022 16:34;8;PAU;00:30:14;00:30:00;0;0;Peukert_sem_equal;2,1;0;;;;;;;;;;;
28/11/2022 16:34;9;MSG;00:30:14;00:30:00;0;0;Peukert_sem_equal;Set IRange: 3;;;;;;;;;;;;
28/11/2022 16:34;9;CHA;00:30:14;00:00:00;0;0;Peukert_sem_equal;2,25;0;;;;;;;;;;;
28/11/2022 16:34;9;CHA;00:30:14;00:00:00;0;0;Peukert_sem_equal;2,28;2,367;0;0;0;0;-0,004852;0;0,004852;0;;;
28/11/2022 16:35;9;CHA;00:31:13;00:00:59;0;0;Peukert_sem_equal;2,45;0,466;0,013855;0;0,013855;0,013855;0,029004;0,033856;0,004852;0,033856;;;
28/11/2022 16:35;9;CHA;00:31:13;00:00:59;0;0;Peukert_sem_equal;2,45;0,466;;;;;;;;;;;
28/11/2022 16:35;10;MSG;00:31:13;00:00:59;0;0;Peukert_sem_equal;Set IRange: 4;;;;;;;;;;;;
28/11/2022 16:35;10;CHA;00:31:13;00:00:00;0;0;Peukert_sem_equal;2,42;0;;;;;;;;;;;
28/11/2022 16:35;10;CHA;00:31:13;00:00:00;0;0;Peukert_sem_equal;2,4;0;0,013898;0;0,000043;0,013898;0,02911;0,033962;0,004852;0,000106;;;
28/11/2022 16:35;10;CHA;00:31:14;00:00:00;0;0;Peukert_sem_equal;2,37;0;0,013898;0;0,000043;0,013898;0,02911;0,033962;0,004852;0,000106;;;
28/11/2022 16:35;10;CHA;00:31:14;00:00:00;0;0;Peukert_sem_equal;2,37;0;;;;;;;;;;;
28/11/2022 16:35;11;PAU;00:31:14;00:00:00;0;0;Peukert_sem_equal;2,3;0;;;;;;;;;;;
28/11/2022 16:35;11;PAU;00:31:14;00:00:00;0;0;Peukert_sem_equal;2,38;0;0,013898;0;0;0,013898;0,02911;0,033962;0,004852;0;;;
28/11/2022 17:35;11;PAU;01:31:14;00:59:59;0;0;Peukert_sem_equal;2,11;0;0,013898;0;0;0,013898;0,02911;0,033962;0,004852;0;;;
28/11/2022 17:35;11;PAU;01:31:14;01:00:00;0;0;Peukert_sem_equal;2,11;0;0,013898;0;0;0,013898;0,02911;0,033962;0,004852;0;;;
